เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,วันที่เลิก,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน
'0115560024251,บริษัท แอลทีซี แซฟไฟร์ จำกัด,LTC SAPPHIRE COMPANY LIMITED,ประกอบกิจการลงทุนทั่วไป,การปลูกพืชผักกินใบและพืชผักกินต้น รวมถึงการเพาะเมล็ดพันธุ์ผัก,40/1 ห้องดี หมู่ที่ 12 ซอยหลวงแพ่ง 8 ถนนหลวงแพ่ง ตำบลศีรษะจรเข้น้อย อำเภอบางเสาธง จ.สมุทรปราการ 10570,ยังดำเนินกิจการอยู่,10/10/2560,10 ตุลาคม 2560,160000000,"กรรมการ: นายภาณุทัต ลิมธงชัย, นางสาวพรรษชล ลิมธงชัย, นางพรทิพย์ ลิมธงชัย",,False,,,,https://www.dataforthai.com/company/0115560024251/,,,,,,,,,
'0115565007932,บริษัท จิรากูล การเกษตร จำกัด,"JIRAKUL KARNKASET CO., LTD.",ประกอบกิจการเพาะเลี้ยงกุ้งเพื่อการเกษตร,การเพาะเลี้ยงกุ้งทะเล,61/1 หมู่ที่ 6 ตำบลราชาเทวะ อำเภอบางพลี จ.สมุทรปราการ 10540,ยังดำเนินกิจการอยู่,11/3/2565,11 มีนาคม 2565,40000000,"กรรมการ: นางจิราพร แซ่เฮียะ, นายนุกูล แซ่เฮียะ, นางสมธิดา แซ่เฮียะ",,False,,,,https://www.dataforthai.com/company/0115565007932/,,,,,,,,,
'0405563002850,บริษัท บลูฮาร์เวสท์ จำกัด,"BLUEHARVEST CO., LTD.",ให้เช่าที่ดิน,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,545 หมู่ที่ 8 ถนนเหล่านาดี ตำบลเมืองเก่า อำเภอเมืองขอนแก่น จ.ขอนแก่น 40000,ยังดำเนินกิจการอยู่,8/7/2563,8 กรกฎาคม 2563,55000000,"กรรมการ: นายไชยยศ เสรีโยธิน, นายศิวกร เสรีโยธิน, นายณัฐชนน เสรีโยธิน",,False,,,,https://www.dataforthai.com/company/0405563002850/,,,,,,,,,
'0505563002182,บริษัท ยูจัน ไฮแลนด์ จำกัด,"YUCHAN HIGHLAND CO., LTD.",ประกอบกิจการปลูกพืชผักกินผล,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,177 หมู่ที่ 2 ตำบลออนเหนือ อำเภอแม่ออน จ.เชียงใหม่ 50130,ยังดำเนินกิจการอยู่,7/2/2563,7 กุมภาพันธ์ 2563,40000000,"กรรมการ: นายทาดาชิ โมริโมโดะ, นายชิเกะฮิโระ โมริโมโตะ, นางริกะ โมริโมโตะ, นายฮิโระฟุมิ อะมะโนะ, นายวิชัย สามโกเศศ, นางจันทร์จรัส สามโกเศศ, นายวรนล สามโกเศศ, นางสาวอรญา นิ่มพร้าว",,False,,,,https://www.dataforthai.com/company/0505563002182/,,,,,,,,,
'0105538066095,บริษัท วิจิตรรังษี จำกัด,"VICHIT-RANGSRI CO., LTD.",ให้เช่า ซื้อและขายอสังหาริมทรัพย์,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็น ของตนเองหรือเช่าจากผู้อื่นเพื่อเป็นที่พักอาศัย,27 ซอยปุณณวิถี 29/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260,ยังดำเนินกิจการอยู่,2/6/2538,2 มิถุนายน 2538,33000000,"กรรมการ: นางสาวกุลวดี สุพรรณธะริดา, นายอนันต์ ณัฏฐสมบูรณ์, นางกรรณิการ์ ณัฏฐสมบูรณ์",,False,,,,https://www.dataforthai.com/company/0105538066095/,,,,,,,,,
'0105565068443,บริษัท สมุย ออร์แกนิก ฟาร์ม จำกัด,"SAMUI ORGANIC FARM CO., LTD.",การปลูกพืชผักกินผลรวมถึงแตงชนิดต่างๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,การปลูกพืชผักกินผลรวมถึงแตงชนิดต่าง ๆ รวมถึงการเพาะเมล็ดพันธุ์ผัก,16/21 ซอย อ่อนนุช 74/1 แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250,ยังดำเนินกิจการอยู่,22/4/2565,22 เมษายน 2565,1000000000,กรรมการ: หม่อมหลวงธารทิพย์ สุทัศนีย์,,False,,,,https://www.dataforthai.com/company/0105565068443/,,,,,,,,,
'0105533100465,บริษัท อุษรินทร์ แลนด์ ดีเวลลอปเมนท์ จำกัด,"USARINT LAND DEVELOPMENT CO., LTD",ให้เช่าพื้นที่,การเช่าและการดำเนินการเกี่ยวกับอสังหาริมทรัพย์ที่เป็นของ ตนเองหรือเช่าจากผู้อื่นที่ไม่ใช่เพื่อเป็นที่พักอาศัย,603 ถนนประชาอุทิศ แขวงวังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310,ยังดำเนินกิจการอยู่,22/8/2533,22 สิงหาคม 2533,55000000,"กรรมการ: นางอุษา มนต์เสรีนุสรณ์, นายประวิทย์ มนต์เสรีนุสรณ์",,False,'029347407,,,https://www.dataforthai.com/company/0105533100465/,,,,,,,,,
'0105560070041,บริษัท 789 สมาร์ท ฟาร์เมอร์ส จำกัด,789 SMART FARMERS COMPANY LIMITED,ปลูกมันสำปะหลังจำหน่าย,การปลูกมันสำปะหลัง,89 หมู่ที่ 5 ตำบลครึ่ง อำเภอเชียงของ จ.เชียงราย 57140,ยังดำเนินกิจการอยู่,27/4/2560,27 เมษายน 2560,31000000,"กรรมการ: นางภัธธา ศรีติสาร, นายภาณุพงศ์ ยินดีชีพ",,False,,,,https://www.dataforthai.com/company/0105560070041/,,,,,,,,,
'0105549067454,บริษัท คัสสาวา แลนด์ จำกัด,CASSAVA LAND COMPANY LIMITED,ปลูกมันสำปะหลัง,การปลูกมันสำปะหลัง,888 อาคารไอทาวเวอร์ ชั้น 30 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,1/6/2549,1 มิถุนายน 2549,150000000,กรรมการ: นางสาวทองทิพย์ ทรัพย์รื่นรวย,,False,,,,https://www.dataforthai.com/company/0105549067454/,,,,,,,,,
'0105538078905,บริษัท เจริญพรพลังงาน จำกัด,CELLULARA VISION COMPANY LIMITED,,การปลูกมันสำปะหลัง,888 อาคารไอทาวเวอร์ ชั้นที่ 8 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,4/7/2538,4 กรกฎาคม 2538,380000000,"กรรมการ: นางสาวขวัญศิรินทร์ โรจนพฤกษ์, นายสุรชัย สุขศรีวงศ์",,False,'025548000,www.eternalenergy.co.th,,https://www.dataforthai.com/company/0105538078905/,,,,,,,,,
'0135552009575,บริษัท ซีดีซี พิมาน จำกัด,CDC PIMARN COMPANY LIMITED,กสิกรรม ปลูกมันและข้าวโพด,การปลูกมันสำปะหลัง,19 หมู่ที่ 1 ตำบลลาดสวาย อำเภอลำลูกกา จ.ปทุมธานี 12150,ยังดำเนินกิจการอยู่,9/10/2552,9 ตุลาคม 2552,36000000,"กรรมการ: นายโฉลก สัมพันธารักษ์, นายพลังเทพ ประพรรดิจักกิจ, นางทิตยาวดี สัมพันธารักษ์, นายวิวรรธน์ กาญจนนันทิวัฒน์, นายภาคย์ เหล่าสุวรรณวัฒน์",,False,,,,https://www.dataforthai.com/company/0135552009575/,,,,,,,,,
'0115547008299,บริษัท บุญเอนก จำกัด,BOON ANEK COMPANY LIMITED,ปลูกพืชการเกษตรมันสำปะหลัง,การปลูกมันสำปะหลัง,888 อาคารไอทาวเวอร์ ชั้นที่ 8 แขวงจตุจักร เขตจตุจักร กรุงเทพมหานคร 10900,ยังดำเนินกิจการอยู่,4/8/2547,4 สิงหาคม 2547,540000000,"กรรมการ: นางสาวขวัญศิรินทร์ โรจนพฤกษ์, นายสุรชัย สุขศรีวงศ์",,False,'025548000,eternalenergy.co.th,,https://www.dataforthai.com/company/0115547008299/,,,,,,,,,
'0105534032102,บริษัท พีเอช.ดี.เชียงราย จำกัด,PH.D.CHIANGRAI COMPANY LIMITED,,การปลูกมันสำปะหลัง,23 อาคารสรชัย ซอยสุขุมวิท 63 (เอกมัย) ถนนสุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,ยังดำเนินกิจการอยู่,4/4/2534,4 เมษายน 2534,60000000,"กรรมการ: นายสรดิษ วิญญรัตน์, นางวรจันทร์ วิญญรัตน์, นายชยุส ยังพิชิต, คุณหญิงชดช้อย โสภณพนิช",,False,'027142300,,,https://www.dataforthai.com/company/0105534032102/,,,,,,,,,
'0105551089281,บริษัท อิมเพรส ฟาร์มมิ่ง จำกัด,"IMPRESS FARMING CO.,LTD.",ประกอบธุรกิจปลูกและจำหน่ายมันสำปะหลัง,การปลูกมันสำปะหลัง,160/833 อาคารไอทีเอฟ-สีลมพาเลส ชั้น 32 ถนนสีลม แขวงสุริยวงศ์ เขตบางรัก กรุงเทพมหานคร 10500,ยังดำเนินกิจการอยู่,8/8/2551,8 สิงหาคม 2551,70000000,"กรรมการ: นางสาวธนิกา จินตนะพันธ์, นายโจฮาน นอร์ ไซมิ บิน โจฮาริ, นายชา ฟุย มิน",,False,,,,https://www.dataforthai.com/company/0105551089281/,,,,,,,,,
'0505549002294,บริษัท เชียงใหม่ฟาร์มเห็ด จำกัด,CHIANGMAI MUSHROOM FARM COMPANY LIMITED,,การเพาะเห็ด,29 หมู่ที่ 14 ถนนเชียงใหม่-พร้าว ตำบลแม่แฝกใหม่ อำเภอสันทราย จ.เชียงใหม่ 50290,ยังดำเนินกิจการอยู่,20/4/2549,20 เมษายน 2549,41000000,"กรรมการ: นายชิช เชียง หลิว, นายเจ๋อ เหยิน เฉิน",,False,'0538489178,,,https://www.dataforthai.com/company/0505549002294/,,,,,,,,,
'0105545103308,บริษัท ปิยะพรอินเตอร์เอโกรโลยี จำกัด,"PIYAPORN INTERAGROLOGY CO., LTD.",ผลิตและจำหน่ายเห็ดออรินจิ ฟาร์มเห็ด,การเพาะเห็ด,150/2 หมู่ที่ 3 หมู่บ้านหน้าวัดเขามัน ตำบลทับกวาง อำเภอแก่งคอย จ.สระบุรี 18260,ยังดำเนินกิจการอยู่,1/10/2545,1 ตุลาคม 2545,30000000,กรรมการ: นายปรีชา กิตติชูโชติ,,False,'036273065,,,https://www.dataforthai.com/company/0105545103308/,,,,,,,,,
