เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่เลิก,เสร็จชำระบัญชี,วันที่ร้าง,ศาลสั่งพิทักษ์ทรัพย์,พิพากษาล้มละลาย,เว็บไซต์,"สมัครงาน / ดูตำแหน่งงานว่าง
 ดูตำแหน่งงานจาก JOBBKK"
'0105546065361,บริษัท ทีเอเอ ฟิวเจอร์ส จำกัด,,,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,475 อาคารสิริภิญโญ ชั้นที่ 14 ห้องเลขที่ 1402/2 ถนนศรีอยุธยา แขวงถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,9/6/2546,9 มิถุนายน 2546,50000000,กรรมการ: นายเกษม เผ่าไพสิฐศรีอนันต์,,False,,,,https://www.dataforthai.com/company/0105546065361/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,,,,
'0105563140902,บริษัท วีดับบลิว อินเตอร์ เทรด จำกัด,VW INTER TRADE COMPANY LIMITED,ขายส่งวัตถุดิบทางการเกษตร,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,944 ห้องที่ S25012 ชั้น 25 มิตรทาวน์ ออฟฟิศ ทาวเวอร์ ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร,ยังดำเนินกิจการอยู่,24/9/2563,24 กันยายน 2563,50000000,"กรรมการ: นายวิทย์พล มักการุณ, นายวราวุฒิ มักการุณ",,False,,,,https://www.dataforthai.com/company/0105563140902/,,,,,,,,
'0775548003864,บริษัท โลตัสเวลล์ จำกัด,LOTUSWELL COMPANY LIMITED,ประกอบกิจการโรงแรมบ้านพักผู้สูงอายุชาวต่างชาติ,โรงแรม รีสอร์ทและห้องชุด,157 หมู่ที่ 14 ตำบลหินเหล็กไฟ อำเภอหัวหิน จ.ประจวบคีรีขันธ์ 77110,ยังดำเนินกิจการอยู่,8/8/2548,8 สิงหาคม 2548,77500000,"กรรมการ: นายคอร์นีเลียส ริชาร์ด สเตเกอร์, นายโธมัส เกอร์เบอร์, นายเอ็มมานูแอล คอร์นีเลียส สเตเกอร์",,False,,,,https://www.dataforthai.com/company/0775548003864/,,,,,,,,
'0515558000088,บริษัท ที.เอส.เอ็น.วาย อินเตอร์เนชั่นแนล อิมพอร์ต เอ็กซ์พอร์ต จำกัด,T.S.N.Y INTERNATIONAL IMPORT EXPORT COMPANY LIMITED,,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,88/66 หมู่ที่ 2 ตำบลป่าแดด อำเภอเมืองเชียงใหม่ จ.เชียงใหม่ 50100,ยังดำเนินกิจการอยู่,26/1/2558,26 มกราคม 2558,100000000,"กรรมการ: นายชิว ชิชุง, นางเฉิน เจิน จู, นางสาวจ้าว หว่าน ถิง",,False,,,,https://www.dataforthai.com/company/0515558000088/,,,,,,,,
'0105562203340,บริษัท แปซิฟิค แคนโนเวชั่น จำกัด,"PACIFIC CANNOVATION CO., LTD.",,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,59 อาคารมิราเคิล 9 ชั้นที่ 4 ถนนสตรีวิทยา 2 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,ยังดำเนินกิจการอยู่,6/12/2562,6 ธันวาคม 2562,100000000,"กรรมการ: นายศุภจักร ไตรรัตโนภาส, นายกุศล สังขนันท์",,False,,,,https://www.dataforthai.com/company/0105562203340/,,,,,,,,
'0125532002583,บริษัท รวมแพคส์(ประเทศไทย) จำกัด,RUAM PACKS (THAILAND) COMPANY LIMITRD,นำเข้า-ส่งออก ค้าปลีก ค้าส่งไม้ดอกไม้ประดับรวมทั้งต้นพันธุ์ทุกชนิด,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,24/2 หมู่ที่ 9 ตำบลวัดชลอ อำเภอบางกรวย จ.นนทบุรี 11130,ยังดำเนินกิจการอยู่,12/12/2532,12 ธันวาคม 2532,175880000,"กรรมการ: นายปวเรศ บุญตานนท์, นางสาวสุวดี บุญตานนท์, นางสาวนภัทร บุญตานนท์",,False,,,,https://www.dataforthai.com/company/0125532002583/,,,,,,,,
'0105564063341,บริษัท จี.เค. สมาร์ท ฟาร์มมิ่ง จำกัด,"G.K. SMART FARMING CO., LTD.",,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,1177 อาคารเพิร์ล แบงก์ค็อก ชั้นที่ 8 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400,ยังดำเนินกิจการอยู่,9/4/2564,9 เมษายน 2564,505000000,"กรรมการ: นางสาวโศภชา ดำรงปิยวุฒิ์, นายสุรณรงค์ วงศ์สรรคกร",,False,,,,https://www.dataforthai.com/company/0105564063341/,,,,,,,,
'0107537002362,บริษัท อุตสาหกรรมอาหารสัตว์ไทย จำกัด (มหาชน),THAI FEED MILLS PUBLIC COMPANY LIMITED,จำหน่ายวัตถุดิบอาหารสัตว์ผลิตและจำหน่ายพันธุ์สัตว์,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,48 หมู่ที่ 8 ถนนพุทธมณฑล สาย 4 ตำบลกระทุ่มล้ม อำเภอสามพราน จ.นครปฐม 73220,ยังดำเนินกิจการอยู่,28/6/2537,28 มิถุนายน 2537,250000000,"กรรมการ: นายสนิท ดุษฎีโหนด, นายสวัสดิ์ ตั้งสกุล, นายเชฎฐพล ดุษฎีโหนด, นายณัฐพล ดุษฎีโหนด, นางสาวอริยา ดุษฎีโหนด",,False,,www.tfm-g.com,,https://www.dataforthai.com/company/0107537002362/,,,,,,,,
'0105563142328,บริษัท แมกซ์ แอนด์ อัพ อินเตอร์เทรด จำกัด,"MAX&UP INTERTRADE CO., LTD.",การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับตอบแทนหรือตามสัญญาจ้าง,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,34 ซอยรามคำแหง 40 (เสริมมิตร) แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร,ยังดำเนินกิจการอยู่,28/9/2563,28 กันยายน 2563,250000000,"กรรมการ: นายชาญ ตั้งกาญจนาเวฬุกุล, นายพิชชะ ไทยภักดี",,False,,,,https://www.dataforthai.com/company/0105563142328/,,,,,,,,
'0735561005646,บริษัท ทีเอฟเอ็มฟาร์ม จำกัด,TFM FARM COMPANY LIMITED,การขายส่งวัตถุดิบทางการเกษตรและสิ่งมีชีวิต,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,48 หมู่ที่ 8 ถนนพุทธมณฑล สาย 4 ตำบลกระทุ่มล้ม อำเภอสามพราน จ.นครปฐม 73220,ยังดำเนินกิจการอยู่,10/8/2561,10 สิงหาคม 2561,270000000,"กรรมการ: นายสนิท ดุษฎีโหนด, นายเชฎฐพล ดุษฎีโหนด, นายณัฐพล ดุษฎีโหนด",,False,,,,https://www.dataforthai.com/company/0735561005646/,,,,,,,,
'0735561007649,บริษัท รำข้าวไทย จำกัด,RUM KHAO THAI COMPANY LIMITED,จำหน่ายพืชผลทางการเกษตร,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,99/1 หมู่ที่ 10 ตำบลนครปฐม อำเภอเมืองนครปฐม จ.นครปฐม 73000,ยังดำเนินกิจการอยู่,30/10/2561,30 ตุลาคม 2561,270000000,"กรรมการ: นายพิเชษฐ ผลิเจริญผล, นายวิชิต ผลิเจริญผล, นายชัยรัตน์ ผลิเจริญผล",,False,,,,https://www.dataforthai.com/company/0735561007649/,,,,,,,,
'0105565043521,บริษัท แพลนท์ แอนด์ บีน (ประเทศไทย) จำกัด,"PLANT & BEAN (THAILAND) CO., LTD.",,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,567 หมู่ 4 ตำบลอุทัย อำเภออุทัย จ.พระนครศรีอยุธยา 13210,ยังดำเนินกิจการอยู่,9/3/2565,9 มีนาคม 2565,350000000,"กรรมการ: นายเกียรติ์กมล ตั้งงามจิตต์, นายธนภัทร ลิ้มเจริญพร, นายประเสริฐศักดิ์ อาภรณ์วิชานพ",,False,,,,https://www.dataforthai.com/company/0105565043521/,,,,,,,,
'0135550036753,บริษัท ไทย พลาตินัม อินเตอร์เนชั่นแนล แอร์ไลน์ จำกัด,THAI PLATINUM INTERNATIONAL AIRLINES COMPANY LIMITED,ส่งออกปุ๋ยจุลินทรีย์และเคมีภัณฑ์,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,55/32 หมู่ที่ 6 ตำบลบ้านใหม่ อำเภอปากเกร็ด จ.นนทบุรี 11120,ยังดำเนินกิจการอยู่,2/10/2550,2 ตุลาคม 2550,1000000000,กรรมการ: นางวนิดา มะลิอ่อน,,False,,,,https://www.dataforthai.com/company/0135550036753/,,,,,,,,
'0735559001809,บริษัท ว่านไท่ อินเตอร์เนชั่นแนล เทรดดิ้ง จำกัด,WANTAI INTERNATIONAL TRADING COMPANY LIMITED,ประกอบกิจการนำเข้า เพื่อขายส่ง ขายปลีก เห็ดหอม เห็ดหูหนูขาว เห็ดหูหนูดำ เยื่อไผ่ และสินค้าอุปโภคบริโภค,การขายส่งวัตถุดิบทางการเกษตรและสัตว์มีชีวิตโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,80/19 หมู่ที่ 1 ตำบลบ้านเกาะ อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,21/3/2559,21 มีนาคม 2559,30000000,"กรรมการ: นางสาวสุจิตรา ทารส, นายหมิ่นเจี๋ย หลี่",,False,,https://www.wantai2016.com,,https://www.dataforthai.com/company/0735559001809/,,,,,,,,
'0105558103051,บริษัท เอเชี่ยน อิมปอร์ต แอนด์ เอ็กซ์ปอร์ต จำกัด,ASIAN IMPORT & EXPORT COMPANY LIMITED,ประกอบธุรกิจนำเข้า-ส่งออก สินค้าเกษตร,กิจกรรมของตัวแทนผู้รับจัดการขนส่งสินค้าและตัวแทนออกของ (ตัวแทนดำเนินพิธีการศุลกากร),16/180 ซอยเคหะคลองเตย 3 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,ยังดำเนินกิจการอยู่,24/6/2558,24 มิถุนายน 2558,30000000,"กรรมการ: นายซิวกุมาร ซิงห์, นางสาววาริณี ซิงห์",,False,,,,https://www.dataforthai.com/company/0105558103051/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,
'0105562108924,บริษัท วอนท์ วอนท์ คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,WANT WANT CORPORATION (THAILAND) LTD.,,การขายส่งอาหารเครื่องดื่มและยาสูบโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,19 ซอยสาทร 9 แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,21/6/2562,21 มิถุนายน 2562,65000000,"กรรมการ: นายไช่ เช่า จง, นายไช่ วั่ง เจีย, นายหลี่ ยู่ เชิง, นายเลี่ยว เหวย เซิ่น, นายอัลเบิร์ต พุทเทอรา",,False,,http://www.want-want.com/en/,,https://www.dataforthai.com/company/0105562108924/,ดูตำแหน่งงานจาก JOBSDB,,,,,,,
'0115564005332,บริษัท อาซาโนะ เอสเค จินเจอร์ จำกัด,"ASANO SK GINGER CO., LTD.",,การขายส่งอาหารเครื่องดื่มและยาสูบโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,26/60 หมู่ที่ 7 ถนนกิ่งแก้ว ตำบลราชาเทวะ อำเภอบางพลี จ.สมุทรปราการ 10540,ยังดำเนินกิจการอยู่,24/2/2564,24 กุมภาพันธ์ 2564,100000000,"กรรมการ: นายอิทธิเชฏฐ์ เตชะไกรศรี, นายเฮจิโร่ อาซาโนะ, นายโซอิจิโร่ อาซาโนะ, นายชินยะ นานาโฮชิ",,False,,,,https://www.dataforthai.com/company/0115564005332/,,,,,,,,
'0105480000011,บริษัท พาณิชยการแห่งประเทศไทย จำกัด,THE COMMERCIAL COMPANY OF SIAM COMPANY LIMITED,เป็นผู้ผลิตและจำหน่ายปลีก - ส่งอาหารสด อาหารแห้ง อาหารสำเร็จรูป,กิจกรรมของบริษัทโฆษณา,1168/3-4 อาคารลุมพินีทาวเวอร์ ชั้น 2 ถนนพระราม 4 แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,8/1/2480,8 มกราคม 2480,122100000,"กรรมการ: นายเฟเบียน อเล็กซานเดร เรย์ชาล, นายโทมัส ฟรองซัวส์ เดวิด ซันเชส",,False,,,,https://www.dataforthai.com/company/0105480000011/,,,,,,,,
'0105555034805,บริษัท เดลิเวอรี่ ฮีโร่ (ประเทศไทย) จำกัด,"DELIVERY HERO (THAILAND) CO., LTD.",เป็นตัวแทน นายหน้า เพื่อจำหน่ายอาหารและเครื่องดื่ม ผ่านระบบอินเตอร์เน็ต,การขายส่งอาหารเครื่องดื่มและยาสูบโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,6 ชั้นที่ 11และ ชั้นที่ 12 อาคารโอ-เนส ทาวเวอร์ ซอยสุขุมวิท 6 แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,ยังดำเนินกิจการอยู่,2/3/2555,2 มีนาคม 2555,204000000,"กรรมการ: นายจอห์น ฝาง, นางสาวพิชญา ทองทั่ว, นางสาวดลิน คงเสรี",,False,,,,https://www.dataforthai.com/company/0105555034805/,ดูตำแหน่งงานจาก JOBSDB,,,,,,,
'0315565000031,บริษัท คริปโตไวน์วอลท์ จำกัด,"CRYPTO WINE VAULT CO., LTD.",ประกอบกิจการเป็นตัวแทนจำหน่ายสินค้าประเภทเครื่องดื่ม ประเภท ไวน์ เบียร์ สุรา และเคื่องดื่ม แอลกอฮอล์ ฯลฯ,การขายส่งอาหารเครื่องดื่มและยาสูบโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,609 หมู่ที่ 1 ตำบลอิสาณ อำเภอเมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,ยังดำเนินกิจการอยู่,10/1/2565,10 มกราคม 2565,6000000000,กรรมการ: นายนภณ ศรีวารินทร์,,False,,,,https://www.dataforthai.com/company/0315565000031/,,,,,,,,
'0105563058769,บริษัท บีบีเอฟ โฮลดิ้ง จำกัด,"BBF HOLDING CO., LTD.",ประกอบทีปรึกษาทางการตลาด,การขายส่งสิ่งทอเสื้อผ้ารองเท้าเครื่องหนังและของใช้ในครัวเรือนโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,88/145 ถนนรัชดา-รามอินทรา แขวงคันนายาว เขตคันนายาว กรุงเทพมหานคร 10230,ยังดำเนินกิจการอยู่,7/4/2563,7 เมษายน 2563,30000000,"กรรมการ: นายอนันต์ วงศ์ทองศรี, นายปยุต วงศ์ทองซรี, นายเดชพิชัย วงศ์ทองศรี",,False,,,,https://www.dataforthai.com/company/0105563058769/,,,,,,,,
'0105561020683,บริษัท อิวาเซะ คอสฟ่า (ประเทศไทย) จำกัด,IWASE COSFA (THAILAND) COMPANY LIMITED,ประกอบกิจการนำเข้า ส่งออก และจำหน่ายส่วนประกอบหรือวัตถุดิบของเครื่องสำอางค์,การขายส่งสิ่งทอเสื้อผ้ารองเท้าเครื่องหนังและของใช้ในครัวเรือนโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,10/78 อาคารเดอะเทรนดี้ ซอยสุขุมวิท 13(แสงจันทร์) ถนนสุขุมวิท แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110,ยังดำเนินกิจการอยู่,1/2/2561,1 กุมภาพันธ์ 2561,35000000,"กรรมการ: นายอากิฮิโระ อนดะ, นายยูโกะ ยาบิกิ, นายโกโระ ฟุรุตะ, นางสาวฮิโรมิ คันนัน",,False,,,,https://www.dataforthai.com/company/0105561020683/,ดูตำแหน่งงานจาก JOBSDB,,,,,,,
'0105559089884,บริษัท ดีเอ็นเอ สปอร์ต จำกัด,DNA SPORTS COMPANY LIMITED,จำหน่ายเสื้อผ้ากีฬาแฟชั่น,การขายส่งสิ่งทอเสื้อผ้ารองเท้าเครื่องหนังและของใช้ในครัวเรือนโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,19 ซอยรามคำแหง 22 (จิตตรานุเคราะห์) แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร,ยังดำเนินกิจการอยู่,13/6/2559,13 มิถุนายน 2559,40000000,"กรรมการ: นายชัชวีร์ ชีวีวัฒน์, นายรวินท์ ถิระวัฒน์",,False,,,,https://www.dataforthai.com/company/0105559089884/,,,,,,,,
'0105551029807,บริษัท เพชรณภารัสน์ จำกัด,"PHETNAPARAS CO., LTD.",เป็นนายหน้าตัวแทนเครื่องสำอาง และอุปกรณ์ความงาม จำหน่ายเครื่องมือ เครื่องใช้เสริมความงาม,การขายส่งสิ่งทอเสื้อผ้ารองเท้าเครื่องหนังและของใช้ในครัวเรือนโดยได้รับค่าตอบแทนหรือตามสัญญาจ้าง,131/1 หมู่ที่ 7 ตำบลนครชุม อำเภอเมืองกำแพงเพชร จ.กำแพงเพชร 62000,ยังดำเนินกิจการอยู่,13/3/2551,13 มีนาคม 2551,50000000,กรรมการ: นางสาวเพชรณภารัสน์ เกตุแก้ว,,False,,,,https://www.dataforthai.com/company/0105551029807/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,,,,
